# Dialogue ID	Turn Index	User Utterance	System Response	attraction-area	attraction-name	attraction-type	bus-day	bus-departure	bus-destination	bus-leaveAt	hospital-department	hotel-area	hotel-book day	hotel-book people	hotel-book stay	hotel-internet	hotel-name	hotel-parking	hotel-price range	hotel-stars	hotel-type	restaurant-area	restaurant-book day	restaurant-book people	restaurant-book time	restaurant-food	restaurant-name	restaurant-price range	taxi-arrive by	taxi-departure	taxi-destination	taxi-leave at	train-arrive by	train-book people	train-day	train-departure	train-destination	train-leave at	
SNG0297.json	0	I am looking for a train departing from london liverpool please.		none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	london liverpool street	none	none
SNG0297.json	1	Cambridge. I'd like to leave after 10:00 on Friday.	I'll be glad to help. You would like to from london liverpool street to what destination, please?	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	friday	london liverpool street	cambridge	10:00
SNG0297.json	2	Just any time after 10:00, can I get the train ID of one of them please?	I have seven trains, could you tell me when you would like to arrive by ?	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	friday	london liverpool street	cambridge	10:00
SNG0297.json	3	Thank you very much! That is all I need for today.	TR7943 leaves at 11:39	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	friday	london liverpool street	cambridge	10:00
SNG01450.json	0	am looking for a train,it should go to cambridge and should depart from norwich		none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	norwich	cambridge	none
SNG01450.json	1	Yes, I would like travel on Monday and I would need to arrive by 08:30. 	What time and day are you looking to travel? 	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	08:30	none	monday	norwich	cambridge	none
SNG01450.json	2	What is the price for the train?	TrainID TR9020 leaves norwich on monday and arrives in cambridge at 06:35.	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	08:30	none	monday	norwich	cambridge	none
SNG01450.json	3	What time does the train leave?	The cost will be 17.60 pounds. Would you like more information about that?	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	08:30	none	monday	norwich	cambridge	none
SNG01450.json	4	Thanks, that's all. Good bye. 	it leaves at 05:16	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	08:30	none	monday	norwich	cambridge	none
SNG0385.json	0	I'd like to find a train that leaves Monday and arrives by 19:00.		none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	19:00	none	monday	none	none	none
SNG0385.json	1	I am departing from birmingham new street, going to cambridge.	Very well. Where are you traveling from, and to where?	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	19:00	none	monday	birmingham new street	cambridge	none
SNG0385.json	2	That would work just fine. Could you tell me the price and travel time for that train? 	I have a train that departs at 15:40 and arrives in Cambridge at 18:23. Will that do?	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	19:00	none	monday	birmingham new street	cambridge	none
SNG0385.json	3	No, I don't want to book today. Could you just give me the price for that train? I think that is all I need today.	The TR5385 has a travel time of 163 minutes. Would you like me to book you some tickets?	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	19:00	none	monday	birmingham new street	cambridge	none
SNG0385.json	4	Great! That's all I need. Thank you for your help.	Sure. The price of those tickets are 75.10 pounds each.	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	19:00	none	monday	birmingham new street	cambridge	none
SNG0285.json	0	I need a train that leaves on Sunday for Broxbourne.		none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	sunday	none	broxbourne	none
SNG0285.json	1	I want it to leave from cambridge after 09:15.	I have 19 trains going to broxbourne on Sunday. To help narrow it down, where would you like to depart from and what time?	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	sunday	none	broxbourne	after 9:15 am
SNG0285.json	2	Not looking to book, can I just get the train ID, price, and travel time? Thanks!	Let me look up those times for you. One minute.	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	sunday	cambridge	broxbourne	after 9:15 am
SNG0285.json	3	There are no trains going to broxbourne from cambridge on Sunday after 09:15?	I'm sorry, I'm not finding that fits those criteria. Is there a different time you could leave? 	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	cambridge	broxbourne	none
SNG0285.json	4	I need to go TO Broxbourne FROM Cambridge on Sunday, leaving any time after 9:15. Please check again with those details, please. 	No, I'm sorry, it doesn't appear that those trains run on Sundays. Is there a different day you could travel? Also, will you leave from Broxbourne or Cambridge?	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	sunday	cambridge	broxbourne	none
SNG0285.json	5	Great. What's the train ID and price?	I'm terribly sorry -- you are correct. There are trains every hour, at one minute past. There is a 10:01 train on Sunday, for example. Travel time is 60 minutes.	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	sunday	cambridge	broxbourne	09:30
SNG0285.json	6	Yes, what is the duration of the train ride?	The TrainID is TR9580 which leaves at 10:01. The price From Cambridge to Broxbourne is 14.32 pounds. Do you need additional information?	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	sunday	cambridge	broxbourne	09:30
SNG0285.json	7	No, that's all right.	The duration is six minutes. Can I get you a ticket?	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	sunday	cambridge	broxbourne	09:30
SNG01277.json	0	I am looking for a train. The train should leave on tuesday and should depart from peterborough		none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	tuesday	peterborough	none	none
SNG01277.json	1	I need to leave from Peterborough.	There are several trains that meet that criteria. What destination are you looking for?	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	tuesday	peterborough	none	none
SNG01277.json	2	I'd like to arrive by 10:45, do you have something close to that time?	How about TR5042 that arrives at 05:19?	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	10:45	none	tuesday	peterborough	none	none
SNG01277.json	3	Departure time doesn't matter, just want to arrive by 10:45 so whatever is closest to that arrival time.	There are several trains that meet that criteria. what time would you like to depart?	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	10:45	none	tuesday	peterborough	none	none
SNG01277.json	4	Wait, does this train go to Cambridge? That's my destination.	Great, I have a train that meets your criteria. Would you like me to book it for you?	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	10:45	none	tuesday	peterborough	none	none
SNG01277.json	5	Yes please book it.	Yes I have a train that arrives at Cambridge on tuesday at 10:38 would you like me to book that for you?	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	10:45	none	tuesday	peterborough	cambridge	none
SNG01277.json	6	Just one please. 	I'd be happy to help with your request, how many tickets do you need?	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	10:45	1	tuesday	peterborough	cambridge	none
SNG01277.json	7	I didn't actually need to reserve a seat. Could you comfirm the departure time of that train?	Booking was successful, the total fee is 16.5 GBP payable at the station. Reference number is : ORMU35RU.	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	10:45	none	tuesday	peterborough	cambridge	none
SNG01277.json	8	No, that's all I need for now, thanks!	TR9620 leaves at 09:48. Do you need anything else?	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	10:45	none	tuesday	peterborough	cambridge	none
SNG1235.json	0	I need to book a train from Cambridge and Norwich on Wednesday and I need to be there at 15:30.		none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	15:30	none	wednesday	cambridge	norwich	none
SNG1235.json	1	I don't care when I leave as long as I get there by 15:30.	When would you like to leave by?	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	15:30	none	wednesday	cambridge	norwich	none
SNG1235.json	2	Can I get the departure and travel time of the train arriving closest to 15:30?	There are 9 trains matching your query. Shall I book one?	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	15:30	none	wednesday	cambridge	norwich	none
SNG1235.json	3	And the departure time please? For the train that arrives closest to 15:30?	The travel time is 79 minutes. 	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	15:30	none	wednesday	cambridge	norwich	none
SNG1235.json	4	No, thank you and that is all i needed. 	The departure time is 13:38 and it arrives at 14:55. Would you like me to book it for you?	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	15:30	none	wednesday	cambridge	norwich	none
SNG0359.json	0	I need a train to Birmingham New Street that arrives by 8:00.		none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	08:00	none	none	none	birmingham new street	none
