# Dialogue ID	Turn Index	User Utterance	System Response	attraction-area	attraction-name	attraction-type	bus-day	bus-departure	bus-destination	bus-leaveAt	hospital-department	hotel-area	hotel-book day	hotel-book people	hotel-book stay	hotel-internet	hotel-name	hotel-parking	hotel-price range	hotel-stars	hotel-type	restaurant-area	restaurant-book day	restaurant-book people	restaurant-book time	restaurant-food	restaurant-name	restaurant-price range	taxi-arrive by	taxi-departure	taxi-destination	taxi-leave at	train-arrive by	train-book people	train-day	train-departure	train-destination	train-leave at	
SNG1197.json	0	I need a taxi to pick me up at curry prince at 08:15.		none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	curry prince	none	08:15	none	none	none	none	none	none
SNG1197.json	1	My destination is kettle's yard, and anytime after 8:15 would be fine. Please notify me of the car type and the contact number. Thank you.	Where is your destination and what time would you like to arrive by?	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	curry prince	kettle's yard	08:15	none	none	none	none	none	none
SNG1197.json	2	That is all I needed, thank you. 	Ok, I have booked you a grey Audi for an 8:15 pickup. The contact number is 07249275156.	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	curry prince	kettle's yard	08:15	none	none	none	none	none	none
SNG01381.json	0	I need a taxi to take me in time for my reservation to tang chinese today		none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	tang chinese	none	none	none	none	none	none	none
SNG01381.json	1	I am leaving from the backstreet bistro.	Where will you leave from?	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	backstreet bistro	tang chinese	none	none	none	none	none	none	none
SNG01381.json	2	I want to arrive by 18:00	Alright. I will just need a time from you please.	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	18:00	backstreet bistro	tang chinese	none	none	none	none	none	none	none
SNG01381.json	3	Great, thanks! That was everything.	Booking is complete, a grey tesla will be arriving at 18:00. The contact number is 07243724592. Do you need any further assistance? .	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	18:00	backstreet bistro	tang chinese	none	none	none	none	none	none	none
SNG02298.json	0	I would like for a taxi to take me to london liverpool street train station, arriving no later than 17:45 please		none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	17:45	none	london liverpool street train station	none	none	none	none	none	none	none
SNG02298.json	1	I would like to depart from London Kings Cross Train Station.	I can book that for you, first I'll need to know where you'd like picked up at.	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	17:45	london kings cross train station	london liverpool street train station	none	none	none	none	none	none	none
SNG02298.json	2	Excellent, can I get a contact number please?	A white Toyota is booked for you.	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	17:45	london kings cross train station	london liverpool street train station	none	none	none	none	none	none	none
SNG02298.json	3	that's great. thanks	Of course. The contact number is 07689939820. Can I help with anything further?	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	17:45	london kings cross train station	london liverpool street train station	none	none	none	none	none	none	none
SNG02298.json	4	Thank you goodbye	I would like a taxi to take me to London liverpool street train station	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	17:45	london kings cross train station	london liverpool street train station	none	none	none	none	none	none	none
SNG1322.json	0	I there! I hope you're having a nice day. Hi, I need ride or taxi from Lovell lodge to Holy Trinity Church around 10:30. What are my options?		none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	lovell lodge	holy trinity church	10:30	none	none	none	none	none	none
SNG1322.json	1	Thank you! That will be all. 	I have booked you a blue toyota. The contact number is 07061402543 	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	lovell lodge	holy trinity church	10:30	none	none	none	none	none	none
SNG1246.json	0	i want to book a taxi. The taxi should depart from india house and should arrive by 24:00.		none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	24:00	india house	none	none	none	none	none	none	none	none
SNG1246.json	1	Whale of a time is where I want to get to. 	What is the destination?	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	24:00	india house	whale of a time	none	none	none	none	none	none	none
SNG1246.json	2	No, thank you for your help! 	Ok, I have booked you a taxi. It will be a grey honda, contact number is 07502484881. Is there anything else I can help with today?	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	24:00	india house	whale of a time	none	none	none	none	none	none	none
SNG0067.json	0	Good morning! Can you help me get a taxi to take me from Clare College to Cambridge that gets there by 18:00?		none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	18:00	clare college	cambridge	none	none	none	none	none	none	none
SNG0067.json	1	Please. Can I get the contact number and car type for that?	Yes, I have a car for that time, would you like me to book it?	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	18:00	clare college	cambridge	none	none	none	none	none	none	none
SNG0067.json	2	Actually, can I change the destination to Christ's College?	Yes, look out for a grey ford. The contact number is 07562472408. May I help with anything else?	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	18:00	clare college	christ's college	none	none	none	none	none	none	none
SNG0067.json	3	Yes. Could I have the contact number and car type for this trip?	Ok, so that was a cab leaving from clare college and going to christ's college arriving there at 18:00?	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	18:00	clare college	christ's college	none	none	none	none	none	none	none
SNG0067.json	4	That takes care of what I needed today. Thanks and have a good day. 	Yes, it will be a grey Ford and the contact number is 07562472408. What else can I help you with? 	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	18:00	clare college	christ's college	none	none	none	none	none	none	none
SNG1181.json	0	i want to book a taxi. The taxi should depart from pizza hut cherry hinton and should arrive by 01:30.		none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	pizza hut cherry hinton	none	none	none	none	none	none	none	none
SNG1181.json	1	Yes, I want to book so I can get to kohinoor by 01:30.	Do you have a destination and time preference?	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	01:30	pizza hut cherry hinton	kohinoor	none	none	none	none	none	none	none
SNG1181.json	2	Thanks so much! I'm all set for my trip now! Bye!	Booking completed! Booked car type : red bmw Contact number : 07276200225 	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	01:30	pizza hut cherry hinton	kohinoor	none	none	none	none	none	none	none
SNG02322.json	0	I want a taxi to pick me up after 21:00 to take me to Little Saint Mary's Church.		none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	little saint mary's church	21:00	none	none	none	none	none	none
SNG02322.json	1	I want to be picked up at frankie and bennys please	I can help with that - where are you leaving from?	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	frankie and bennys	little saint mary's church	21:00	none	none	none	none	none	none
SNG02322.json	2	Great, thank you for your help.	I've booked you a black Honda, the contact number is 07796011098.	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	frankie and bennys	little saint mary's church	21:00	none	none	none	none	none	none
SNG1279.json	0	i want to book a taxi. The taxi should depart from la Margarita and should go to riverboat Georgina.		none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	la margherita	riverboat georgina	none	none	none	none	none	none	none
SNG1279.json	1	I would like to arrive by 17:15.	What time would you like to arrive?	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	17:15	la margherita	riverboat georgina	none	none	none	none	none	none	none
SNG1279.json	2	No, that is all I need today. Thanks!	I have a white tesla booked. The contact number is 07032807056. Anything else today?	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	17:15	la margherita	riverboat georgina	none	none	none	none	none	none	none
SNG01442.json	0	I need a taxi to pick me up from saigon city please		none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	saigon city	none	none	none	none	none	none	none	none
SNG01442.json	1	I'd like to arrive by 15:45.	Sure! when would you like to arrive?	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	15:45	saigon city	none	none	none	none	none	none	none	none
SNG01442.json	2	I'll be heading to huntingdon marriott hotel.	And where will you be going?	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	15:45	saigon city	huntingdon marriott hotel	none	none	none	none	none	none	none
