# Dialogue ID	Turn Index	User Utterance	System Response	attraction-area	attraction-name	attraction-type	bus-day	bus-departure	bus-destination	bus-leaveAt	hospital-department	hotel-area	hotel-book day	hotel-book people	hotel-book stay	hotel-internet	hotel-name	hotel-parking	hotel-price range	hotel-stars	hotel-type	restaurant-area	restaurant-book day	restaurant-book people	restaurant-book time	restaurant-food	restaurant-name	restaurant-price range	taxi-arrive by	taxi-departure	taxi-destination	taxi-leave at	train-arrive by	train-book people	train-day	train-departure	train-destination	train-leave at	
SNG01856.json	0	am looking for a place to to stay that has cheap price range it should be in a type of hotel		none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	cheap	none	hotel	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none
SNG01856.json	1	no, i just need to make sure it's cheap. oh, and i need parking	Okay, do you have a specific area you want to stay in?	none	none	none	none	none	none	none	none	none	none	none	none	none	none	yes	cheap	none	hotel	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none
SNG01856.json	2	Yes, please. 6 people 3 nights starting on tuesday.	I found 1 cheap hotel for you that includes parking. Do you like me to book it?	none	none	none	none	none	none	none	none	none	tuesday	6	3	none	none	yes	cheap	none	hotel	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none
SNG01856.json	3	how about only 2 nights.	I am sorry but I wasn't able to book that for you for Tuesday. Is there another day you would like to stay or perhaps a shorter stay?	none	none	none	none	none	none	none	none	none	tuesday	6	2	none	none	yes	cheap	none	hotel	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none
SNG01856.json	4	No, that will be all. Good bye.	Booking was successful. Reference number is : 7GAWK763. Anything else I can do for you?	none	none	none	none	none	none	none	none	none	tuesday	6	2	none	none	yes	cheap	none	hotel	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none
MUL1124.json	0	I'm looking for a place to stay that has a star of 4 and free parking.		none	none	none	none	none	none	none	none	none	none	none	none	none	none	yes	none	4	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none
MUL1124.json	1	No, sorry. I'm looking for a hotel in the centre, not north.	I have located the Acorn Guest house in the North Area. It has a 4 star rating and free parking. Would you like to to book a room?	none	none	none	none	none	none	none	none	centre	none	none	none	none	none	yes	none	4	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none
MUL1124.json	2	what is the address and price range 	I have a guest house that is in the cheap price range and a hotel in the expensive. Would you like to book at one of them?	none	none	none	none	none	none	none	none	centre	none	none	none	none	none	yes	none	4	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none
MUL1124.json	3	No, but I do need the address and postcode.	The University Arms Hotel is in the centre and is in the expensive price range. Would you like me to book a room?	none	none	none	none	none	none	none	none	centre	none	none	none	none	university arms hotel	yes	none	4	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none
MUL1124.json	4	I'm also looking for a college in the same area.	Certainly, the address is regent street and the can be reached at 01223351241, can I assist with anything else?	centre	none	college	none	none	none	none	none	centre	none	none	none	none	university arms hotel	yes	none	4	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none
