# Dialogue ID	Turn Index	User Utterance	System Response	attraction-area	attraction-name	attraction-type	bus-day	bus-departure	bus-destination	bus-leaveAt	hospital-department	hotel-area	hotel-book day	hotel-book people	hotel-book stay	hotel-internet	hotel-name	hotel-parking	hotel-price range	hotel-stars	hotel-type	restaurant-area	restaurant-book day	restaurant-book people	restaurant-book time	restaurant-food	restaurant-name	restaurant-price range	taxi-arrive by	taxi-departure	taxi-destination	taxi-leave at	train-arrive by	train-book people	train-day	train-departure	train-destination	train-leave at	
SNG01856.json	0	am looking for a place to to stay that has cheap price range it should be in a type of hotel		none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	cheap	none	hotel	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none
SNG01856.json	1	no, i just need to make sure it's cheap. oh, and i need parking	Okay, do you have a specific area you want to stay in?	none	none	none	none	none	none	none	none	none	none	none	none	none	none	yes	cheap	none	hotel	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none
SNG01856.json	2	Yes, please. 6 people 3 nights starting on tuesday.	I found 1 cheap hotel for you that includes parking. Do you like me to book it?	none	none	none	none	none	none	none	none	none	tuesday	6	3	none	none	yes	cheap	none	hotel	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none
SNG01856.json	3	how about only 2 nights.	I am sorry but I wasn't able to book that for you for Tuesday. Is there another day you would like to stay or perhaps a shorter stay?	none	none	none	none	none	none	none	none	none	tuesday	6	2	none	none	yes	cheap	none	hotel	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none
SNG01856.json	4	No, that will be all. Good bye.	Booking was successful. Reference number is : 7GAWK763. Anything else I can do for you?	none	none	none	none	none	none	none	none	none	tuesday	6	2	none	none	yes	cheap	none	hotel	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none
SSNG0348.json	0	I need a place to stay in the north please.		none	none	none	none	none	none	none	none	north	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none
SSNG0348.json	1	I don't want to have to pay for parking.	There are 13 places to stay in the north. Do you have any other criteria?	none	none	none	none	none	none	none	none	north	none	none	none	none	none	yes	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none
SSNG0348.json	2	For 3 people starting on Wednesday and staying 2 nights.	I have 5 different gueshouses listed. For what day and for how many please?	none	none	none	none	none	none	none	none	north	none	none	none	none	none	yes	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none
SSNG0348.json	3	Just a guesthouse in the north with free parking. I'll need a reference number then too please.	There are 11 hotels available actually. Would you like to narrow it to a specific price range or star rating? 	none	none	none	none	none	none	none	none	north	wednesday	3	2	none	none	yes	none	none	guest house	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none
SSNG0348.json	4	That's all I need today. Thanks! Bye!	I was able to get you in at Archway House. Your reference number is WUMUZ0JX. Can I help you with anything else?	none	none	none	none	none	none	none	none	north	wednesday	3	2	none	none	yes	none	none	guest house	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none
