# Dialogue ID	Turn Index	User Utterance	System Response	attraction-area	attraction-name	attraction-type	bus-day	bus-departure	bus-destination	bus-leaveAt	hospital-department	hotel-area	hotel-book day	hotel-book people	hotel-book stay	hotel-internet	hotel-name	hotel-parking	hotel-price range	hotel-stars	hotel-type	restaurant-area	restaurant-book day	restaurant-book people	restaurant-book time	restaurant-food	restaurant-name	restaurant-price range	taxi-arrive by	taxi-departure	taxi-destination	taxi-leave at	train-arrive by	train-book people	train-day	train-departure	train-destination	train-leave at	
MUL2105.json	0	Hi. I'm looking for a hotel in the east. The internet is not needed.		none	none	none	none	none	none	none	none	east	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none
MUL2105.json	1	no, but it should have free parking, please.	There are no hotels that do not have internet, but 7 which do have it. Do you have a specific price range you'd prefer?	none	none	none	none	none	none	none	none	east	none	none	none	do not care	none	yes	do not care	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none
MUL2105.json	2	Is that a guesthouse or a hotel? I'd really prefer a guesthouse.	The Express by Holiday Inn Cambridge is in the area and has free parking, would you like more information?	none	none	none	none	none	none	none	none	east	none	none	none	do not care	none	yes	do not care	none	guest house	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none
MUL2105.json	3	The price doesn't really matter. I just need free parking. It doesn't really need to have internet though. 	It's a hotel. There are 5 guesthouses in the area. Do you prefer cheap or moderate for the price range?	none	none	none	none	none	none	none	none	east	none	none	none	do not care	none	yes	do not care	none	guest house	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none
MUL2105.json	4	Okay, none of them DON'T offer free wifi? If not, I'll need the address for one that does have wifi, please. Tell me about your favorite.	There are 5 guesthouses that have free parking. Should I book one of them for you?	none	none	none	none	none	none	none	none	east	none	none	none	do not care	none	yes	do not care	none	guest house	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none
MUL2105.json	5	Great. Can you help me with a train as well? I'm looking to come in from Ely.	The allenbell is a guesthouse on the east. The addres sis 517a coldham lane post code cb13js.	none	none	none	none	none	none	none	none	east	none	none	none	do not care	none	yes	do not care	none	guest house	none	none	none	none	none	none	none	none	none	none	none	none	none	none	ely	none	none
MUL2105.json	6	I want to go from cambridge to ely, no preference for time but I need to book for 8 people.	What is your destination? And do you have any preference for day, departure or arrival time?	none	none	none	none	none	none	none	none	east	none	none	none	do not care	none	yes	do not care	none	guest house	none	none	none	none	none	none	none	none	none	none	none	none	none	none	cambridge	ely	none
MUL2105.json	7	I'm looking for Wednesday , arrive by 11:30 for 8 people Please.	There are trains that run every two hours every day starting at 5:50. Do you know what day you'd like to travel?	none	none	none	none	none	none	none	none	east	none	none	none	do not care	none	yes	do not care	none	guest house	none	none	none	none	none	none	none	none	none	none	none	11:30	8	wednesday	cambridge	ely	none
MUL2105.json	8	No, I don't need anything else right now. Thank you for your assistance. Good Bye.	Booking was successful, the total fee is 35.2 GBP payable at the station. You reference number is 7ZCVR4Q3. Can I help you with anything else?	none	none	none	none	none	none	none	none	east	none	none	none	do not care	none	yes	do not care	none	guest house	none	none	none	none	none	none	none	none	none	none	none	11:30	8	wednesday	cambridge	ely	none
SNG1345.json	0	Can you please help me find a place to go?		none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none
SNG1345.json	1	I'd like a sports place in the centre please. 	I've found 79 places for you to go. Do you have any specific ideas in mind?	centre	none	multiple sports	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none	none
